EnemyType,PositionX,PositionY,PositionZ
BlueBoundEnemy,315,1,0 
BlueBoundEnemy,-165,1,0 
RoketEnemy,-70.5,4.5,0
RoketEnemy,-24,17,0
RoketEnemy,-26,17,0
RoketEnemy,13.5,5,0
RoketEnemy,24.5,5,0
RoketEnemy,270,26,0
RoketEnemy,272,26,0
RoketEnemy,283,26,0
RoketEnemy,285,26,0
RoketEnemy,296,26,0
RoketEnemy,298,26,0
RoketEnemy,371,4,0
RoketEnemy,373,4,0
FallEnemy,14.5,-8,0
FallEnemy,25,-8,0
KarakasaGhost,-40,17,0
KarakasaGhost,-34,17,0
HomingEnemy,58,-0.5,0
HomingEnemy,68.5,-0.5,0
HomingEnemy,86,3.5,0
HomingEnemy,98,3.5,0
HomingEnemy,185,-0.5,0
HomingEnemy,185,3.5,0
HomingEnemy,197.5,-0.5,0
HomingEnemy,197.5,3.5,0
HomingEnemy,215,-0.5,0
HomingEnemy,215,3.5,0
HomingEnemy,227.5,-0.5,0
HomingEnemy,227.5,3.5,0
HomingEnemy,259,0,0
HomingEnemy,255,8.8,0
HomingEnemy,255,17.6,0
HomingEnemy,342,6,0
